topic_id,word_1,weight_word_1,word_2,weight_word_2,word_3,weight_word_3,word_4,weight_word_4,word_5,weight_word_5,word_6,weight_word_6,word_7,weight_word_7,word_8,weight_word_8,word_9,weight_word_9,word_10,weight_word_10,topic_description
0,path,0.03308311,comical,4.784112e-05,normandy,4.784112e-05,sgraffito,4.784112e-05,grimdark,4.784112e-05,lupine,4.784112e-05,thrush,4.784112e-05,austral,4.784112e-05,scorpio,4.784112e-05,storming,4.784112e-05,Walking routes or travel paths
1,comical,4.9475562e-05,normandy,4.9475562e-05,sgraffito,4.9475562e-05,grimdark,4.9475562e-05,lupine,4.9475562e-05,thrush,4.9475562e-05,austral,4.9475562e-05,scorpio,4.9475562e-05,storming,4.9475562e-05,imagine,4.9475562e-05,Unrelated or miscellaneous rare words
2,beautiful,0.5937992,epic,0.08735934,neon,0.037110146,around,0.0318998,colors,0.016792286,cake,0.016039442,child,0.012473235,structure,0.008110343,wedding,0.0044262568,frozen,0.0018937893,Beautiful epic neon colors around cake
3,cute,0.23045468,movie,0.17388791,poster,0.11791944,cover,0.071696304,little,0.059101164,aliens,0.02791126,owl,0.02399478,still,1.4602055e-05,austral,1.4602053e-05,scorpio,1.4602053e-05,Cute movie poster with aliens
4,intricate,0.20906922,artstation,0.149826,trending,0.081573114,half,0.045763053,center,0.039175455,isometric,0.03432102,details,0.031192532,frame,0.015711816,propaganda,0.010561974,rendering,0.00565877,Intricate isometric artstation rendering details
5,face,0.19210885,black,0.18202688,hair,0.15906031,long,0.114993885,dressed,0.057268586,extremely,0.041019287,peter,0.0333864,batman,0.019395703,ultradetailed,0.013219381,wavy,0.006922737,"Long black wavy hair, detailed face"
6,painting,0.41149285,digital,0.0912088,illustration,0.08702127,oil,0.07500339,closeup,0.059886176,render,0.055255927,hyper,0.043918733,tree,0.030832686,mm,0.016906133,jungle,0.007742681,Oil painting digital illustration closeup
7,girl,0.24941672,anime,0.1663153,cat,0.11488835,old,0.08813261,blonde,0.051440492,smiling,0.04150534,mixed,0.026094697,planet,0.021269605,media,0.020705996,running,0.016905436,Blonde anime girl with cat
8,cyberpunk,0.16641416,greg,0.10002197,rutkowski,0.07807428,green,0.07676259,dress,0.062675096,john,0.056144547,spaceship,0.04951719,people,0.038764734,ocean,0.036700293,eating,0.0354103,Cyberpunk scene with Greg Rutkowski
9,photo,0.3827898,young,0.15230875,made,0.14857014,room,0.060929637,standing,0.060614195,grand,0.011094716,piano,0.006002888,distant,0.0046312907,still,8.565566e-06,dark,8.565566e-06,Young person standing by piano
10,body,0.2381408,photography,0.09787246,house,0.081764124,monster,0.07831057,angel,0.05144396,centered,0.044251822,joe,0.033506174,plastic,0.030031968,clear,0.022320647,hot,0.0150789805,Body-centered photography with surreal elements
11,woman,0.53728616,cosmic,0.045575302,cube,0.036794644,universe,0.030480003,infinite,0.013492074,four,0.0011873213,sgraffito,1.658837e-05,grimdark,1.658837e-05,storming,1.658837e-05,carolyn,1.658837e-05,Woman as cosmic or universal figure
12,portrait,0.73562527,female,0.09832491,cyborg,0.05882456,hooded,0.0004897864,holding,5.281857e-06,full,5.281857e-06,shot,5.281857e-06,close,5.281857e-06,still,5.281857e-06,futuristic,5.281857e-06,Portrait of a female cyborg
13,city,0.4520506,mark,0.041825574,alex,0.02243638,gods,0.0003975172,austral,2.3915776e-05,stoneware,2.3915776e-05,sgraffito,2.3915776e-05,grimdark,2.3915776e-05,lupine,2.3915776e-05,thrush,2.3915776e-05,Urban centers and notable individuals
14,high,0.20463166,space,0.12658437,k,0.07698382,new,0.07008314,glass,0.06744093,walter,0.049537867,temple,0.04914159,screenshot,0.044184875,hyperrealism,0.030684078,shaped,0.024528855,High-tech glass and space design
15,landscape,0.19172107,like,0.11066345,view,0.084244184,looking,0.082226396,matte,0.07338543,walking,0.06718806,yellow,0.038934316,underwater,0.030973079,park,0.020005211,ball,0.01879401,Observing landscapes while walking outdoors
16,style,0.3709955,character,0.21987931,jean,0.059219085,stone,0.03979735,vampire,0.02951396,comic,0.02698894,emma,0.020568777,design,1.1533635e-05,full,1.1533635e-05,dark,1.1533635e-05,Jean style and character focus
17,computer,0.15140633,mountain,0.10742777,canyon,0.017175559,lava,0.0032009955,thrush,3.5668516e-05,austral,3.5668516e-05,comical,3.5668516e-05,vice,3.5668516e-05,lupine,3.5668516e-05,grimdark,3.5668516e-05,Computers and natural landscapes
18,comical,4.9475562e-05,normandy,4.9475562e-05,sgraffito,4.9475562e-05,grimdark,4.9475562e-05,lupine,4.9475562e-05,thrush,4.9475562e-05,austral,4.9475562e-05,scorpio,4.9475562e-05,storming,4.9475562e-05,imagine,4.9475562e-05,"Unrelated eclectic words, no clear topic"
19,princess,0.20278767,indian,0.016804436,imagine,3.8614937e-05,vice,3.8614937e-05,grimdark,3.8614937e-05,lupine,3.8614937e-05,thrush,3.8614937e-05,austral,3.8614937e-05,scorpio,3.8614937e-05,comical,3.8614937e-05,Indian princess
20,white,0.23175098,goddess,0.070571,medieval,0.07008809,two,0.054027196,huge,0.046759225,knight,0.040548887,attractive,0.035542846,haired,0.035510942,wings,0.027055062,glasses,0.026809882,White-haired medieval goddess with wings
21,photograph,0.308568,head,0.21664156,engine,0.041295763,v,0.036617916,grimdark,1.9639592e-05,lupine,1.9639592e-05,austral,1.9639592e-05,stoneware,1.9639592e-05,sgraffito,1.9639592e-05,storming,1.9639592e-05,Photographic portraits and headshots
22,art,0.39738274,concept,0.16180561,robot,0.14568791,picture,0.04307249,winning,0.025817856,award,0.024745801,arm,0.008336928,storming,9.55955e-06,stoneware,9.55955e-06,grimdark,9.55955e-06,Robot art concept wins award
23,detailed,0.3659969,fantasy,0.14155583,highly,0.13377209,fi,0.04310819,sci,0.042283628,drawing,0.03416825,paint,0.026299737,vintage,0.025734395,lord,0.012726661,goblin,0.01189461,Highly detailed fantasy sci-fi drawing
24,red,0.42337623,psychedelic,0.07386142,image,0.06918525,wolf,0.044009123,earth,0.041719995,ornate,0.039424956,fractal,0.037864875,japan,0.0063517853,blue,1.307693e-05,brown,1.307693e-05,Red psychedelic wolf fractal art
25,world,0.215722,artwork,0.11822663,apocalyptic,0.053034775,post,0.047651943,mullins,0.04418623,craig,0.04407804,dust,0.0023644473,austral,2.349596e-05,thrush,2.349596e-05,scorpio,2.349596e-05,Craig Mullins post-apocalyptic artwork
26,bear,0.11604445,alone,0.050250698,best,0.008867072,comical,4.0815372e-05,imagine,4.0815372e-05,lupine,4.0815372e-05,thrush,4.0815372e-05,austral,4.0815372e-05,scorpio,4.0815372e-05,sgraffito,4.0815372e-05,Solitude and strength of a bear
27,man,0.35140666,alien,0.13810982,one,0.06940828,gold,0.055165846,creature,0.04282322,day,0.04271848,tall,0.032666318,robotic,0.014684375,rainy,0.010449603,sgraffito,1.2006503e-05,Man encounters alien and gold creature
28,skull,0.20135108,riding,0.103480406,dream,0.05696808,chris,0.048796017,headphones,0.031543113,cyber,0.023038737,carolyn,2.64685e-05,storming,2.64685e-05,sgraffito,2.64685e-05,grimdark,2.64685e-05,Skull-themed riding and dreams
29,wearing,0.29457235,realistic,0.20961495,playing,0.07704514,ultra,0.07294861,golden,0.04336915,horror,0.03607266,evil,0.025845908,deep,0.021569721,jacket,0.016159438,clown,0.011998294,Realistic horror clown wearing jacket
